timestamp	accelX	accelY	accelZ	gyroX	gyroY	gyroZ	altitude
8910	0,632	-0,318	-1,09	59,879	-48,315	-153,096	527,745
9010	0,551	-0,293	-0,902	54,386	-24,13	-93,861	527,195
9110	0,497	-0,277	-1,058	26,63	-71,142	-63,649	526,645
9210	0,519	-0,235	-0,958	21,336	8,219	-96,104	526,095
9310	0,465	-0,197	-0,79	54,708	-14,406	-104,967	525,545
9410	0,529	-0,271	-0,823	60,931	-31,545	-148,636	524,995
9510	0,519	-0,296	-0,847	58,21	-27,661	-134,977	524,445
9610	0,486	-0,292	-0,866	47,271	-10,562	-101,948	523,895
9710	0,451	-0,278	-0,879	34,98	8,897	-70,482	523,345
9810	0,434	-0,276	-0,887	28,201	19,859	-61,501	522,795
9910	0,464	-0,268	-0,908	22,739	-31,378	-56,431	522,245
10010	0,518	-0,292	-0,978	22,755	-21,398	-121,937	521,695
10110	0,694	-0,311	-1,049	33,665	-43,798	-150,944	521,145
10210	0,606	-0,267	-0,984	64,411	-39,816	-152,577	520,595
10310	0,602	-0,287	-1,017	66,15	8,19	-140,202	520,045
10410	0,642	-0,288	-1,189	59,073	-10,286	-127,999	519,495
10510	0,593	-0,277	-1,233	57,13	-24,287	-108,2	518,945
10610	0,505	-0,258	-1,178	57,766	-30,126	-84,946	518,395
10710	0,457	-0,249	-1,083	54,073	-24,497	-71,771	517,845
10810	0,527	-0,266	-1,007	39,144	-4,098	-82,21	517,295
10910	0,543	-0,25	-0,988	33,436	-15,097	-96,424	516,745
11010	0,522	-0,246	-0,877	49,412	-12,564	-127,446	516,195
11110	0,56	-0,272	-0,893	56,294	-34,429	-139,149	515,645
11210	0,535	-0,295	-0,763	43,11	-29,974	-162,22	515,095
11310	0,511	-0,297	-0,84	51,385	-12,142	-116,342	514,545
11410	0,389	-0,243	-0,746	63,514	-35,111	-24,998	513,995
11510	0,438	-0,256	-0,792	47,635	-7,971	-47,953	513,445
11610	0,526	-0,249	-0,903	27,262	-43,088	-86,891	512,895
11710	0,55	-0,259	-0,962	39,149	-12,711	-102,854	512,345
11810	0,504	-0,253	-0,93	37,629	-49,722	-92,273	511,795
11910	0,487	-0,272	-0,914	45,948	-15,493	-95,265	511,245
12010	0,54	-0,285	-0,961	41,096	28,513	-123,783	510,695
12110	0,538	-0,272	-0,873	46,436	-10,183	-109,639	510,145
12210	0,492	-0,25	-0,773	51,533	-14,074	-114,247	509,595
12310	0,521	-0,259	-0,848	27,969	-21,396	-104,868	509,045
12410	0,472	-0,249	-0,952	38,448	-23,759	-48,493	508,495
12510	0,419	-0,243	-0,872	32,929	-2,687	-43,901	507,945
12610	0,417	-0,239	-0,805	32,841	1,836	-64,722	507,395
12710	0,467	-0,288	-0,889	29,661	-13,969	-102,059	506,845
12810	0,544	-0,308	-0,919	30,353	-9,697	-121,694	506,295
12910	0,56	-0,281	-0,896	25,82	-7,84	-112,232	505,745
13010	0,52	-0,259	-0,958	30,78	-25,036	-73,755	505,195
13110	0,519	-0,24	-1,04	37,481	-11,269	-43,65	504,645
13210	0,521	-0,24	-1,073	24,539	-5,151	-45,083	504,095
13310	0,466	-0,241	-1,065	19,941	-20,199	-43,708	503,545
13410	0,449	-0,265	-1,07	22,796	5,72	-53,326	502,995
13510	0,483	-0,304	-1,083	15,34	25,111	-77,994	502,445
13610	0,497	-0,333	-1,034	21,401	-6,211	-62,709	501,895
13710	0,55	-0,355	-1,064	20,22	-6,612	-47,526	501,345
13810	0,552	-0,336	-1,071	-9,502	-4,356	-47,018	500,795
13910	0,539	-0,301	-1,055	-10,214	-22,491	-17,611	500,245
14010	0,518	-0,273	-1,034	13,928	-7,643	-11,408	499,695
14110	0,54	-0,263	-1,055	17,066	-1,985	-43,346	499,145
14210	0,562	-0,272	-1,075	16,577	-15,618	-55,549	498,595
14310	0,49	-0,268	-0,998	17,351	-13,287	-31,85	498,045
14410	0,467	-0,259	-0,981	5,51	11,144	-6,655	497,495
14510	0,493	-0,25	-1,012	-6,074	20,647	2,789	496,945
14610	0,51	-0,243	-1,055	-4,71	-0,419	7,021	496,395
14710	0,472	-0,239	-1,004	-0,158	-3,597	2,541	495,845
14810	0,47	-0,25	-1,017	-0,375	20,35	-3,342	495,295
14910	0,468	-0,254	-0,988	-7,98	23,423	1,014	494,745
15010	0,445	-0,25	-0,927	-16,615	4,862	20,857	494,195
15110	0,454	-0,244	-0,933	-22,26	6,586	41,917	493,645
15210	0,444	-0,23	-0,866	-20,252	25,568	50,977	493,095
15310	0,443	-0,222	-0,827	-13,556	22,129	49,851	492,545
15410	0,435	-0,233	-0,829	-19,587	2,278	36,822	491,995
15510	0,427	-0,249	-0,827	-30,332	6,93	25,269	491,445
15610	0,449	-0,261	-0,857	-25,494	18,351	44,822	490,895
15710	0,474	-0,267	-0,876	-20,307	13,122	68,957	490,345
15810	0,452	-0,262	-0,867	-28,291	9,773	60,065	489,795
15910	0,45	-0,261	-0,888	-30,301	22,363	36,182	489,245
16010	0,452	-0,267	-0,897	-16,269	24,582	26,828	488,695
16110	0,445	-0,278	-0,884	-13,594	7,717	24,289	488,145
16210	0,421	-0,281	-0,854	-22,096	8,763	25,806	487,595
16310	0,414	-0,277	-0,846	-23,131	28,198	29,879	487,045
16410	0,435	-0,271	-0,862	-16,264	26,079	31,581	486,495
16510	0,41	-0,268	-0,812	-9,828	4,107	30,021	485,945
16610	0,388	-0,264	-0,768	-14,852	6,95	12,92	485,395
16710	0,407	-0,277	-0,834	-17,02	20,849	5,297	484,845
16810	0,44	-0,28	-0,84	-12,09	16,899	11,207	484,295
16910	0,44	-0,272	-0,839	-10,228	3,204	15,458	483,745
17010	0,46	-0,289	-0,921	-16,977	-1,374	12,056	483,195
17110	0,473	-0,295	-0,958	-22,605	11,925	0,089	482,645
17210	0,513	-0,3	-1,034	-16,34	9,911	0,246	482,095
17310	0,535	-0,305	-1,08	-10,95	-4,579	3,786	481,545
17410	0,523	-0,301	-1,064	-17,691	-5,567	-2,716	480,995
17510	0,562	-0,307	-1,117	-22,734	-1,898	-5,321	480,445
17610	0,614	-0,323	-1,257	-13,271	-9,5	14,018	479,895
17710	0,59	-0,311	-1,213	-14,448	-8,546	15,081	479,345
17810	0,579	-0,296	-1,17	-25,014	-2,544	-2,25	478,795
17910	0,569	-0,284	-1,142	-17,263	-5,265	7,142	478,245
18010	0,538	-0,264	-1,04	-4,829	-8,224	28,498	477,695
18110	0,539	-0,267	-1,048	-11,318	-11,604	31,518	477,145
18210	0,505	-0,257	-0,975	-22,82	1,044	14,89	476,595
18310	0,525	-0,262	-1,011	-16,827	-4,759	20,956	476,045
18410	0,565	-0,284	-1,132	-7,425	-13,779	38,73	475,495
18510	0,543	-0,278	-1,083	-10,722	0,567	35,344	474,945
18610	0,525	-0,268	-1,041	-16,473	3,514	24,245	474,395
18710	0,52	-0,271	-1,026	-10,584	-3,436	25,097	473,845
18810	0,501	-0,27	-0,984	-3,974	-10,588	37,067	473,295
18910	0,501	-0,271	-0,998	-10,531	-4,992	37,268	472,745
19010	0,512	-0,278	-1,036	-16,322	-0,722	32,224	472,195
19110	0,522	-0,281	-1,066	-9,949	-3,7	33,477	471,645
19210	0,489	-0,273	-0,991	-6,213	-11,2	33,357	471,095
19310	0,436	-0,262	-0,901	-11,197	-7,777	24,923	470,545
19410	0,419	-0,249	-0,855	-12,922	1,49	17,918	469,995
19510	0,419	-0,246	-0,856	-9,156	-3,208	19,155	469,445
19610	0,4	-0,244	-0,83	-6,507	-8,533	20,978	468,895
19710	0,4	-0,247	-0,846	-2,781	6,194	17,106	468,345
19810	0,391	-0,237	-0,816	-0,637	8,997	14,182	467,795
19910	0,357	-0,22	-0,726	1,615	5,565	12,423	467,245
20010	0,321	-0,219	-0,664	-1,459	10,006	-0,936	466,695
20110	0,418	-0,267	-0,941	-1,161	10,07	-6,043	466,145
20210	0,517	-0,307	-1,196	7,571	17,028	-2,294	465,595
20310	0,481	-0,297	-1,101	14,911	12,468	8,218	465,045
20410	0,447	-0,299	-1,023	3,589	11,229	-2,629	464,495
20510	0,436	-0,295	-0,958	-12,623	18,214	-25,901	463,945
20610	0,407	-0,281	-0,863	2,519	14,566	-10,34	463,395
20710	0,42	-0,279	-0,823	5,396	12,666	-18,983	462,845
20810	0,468	-0,284	-0,882	-7,744	-0,781	-35,837	462,295
20910	0,471	-0,288	-0,919	-6,676	-0,873	-21,636	461,745
21010	0,464	-0,27	-0,868	-9,967	0,208	-6,98	461,195
21110	0,477	-0,262	-0,9	-12,258	0,851	-4,219	460,645
21210	0,493	-0,254	-0,952	-5,961	-9,606	6,534	460,095
21310	0,478	-0,248	-0,921	-10,757	-13,305	1,779	459,545
21410	0,486	-0,252	-0,956	-10,055	0,748	2,7	458,995
21510	0,509	-0,257	-1,009	-4,096	0,499	19,151	458,445
21610	0,507	-0,253	-0,993	-10,484	-4,697	23,502	457,895
21710	0,502	-0,247	-0,963	-12,478	-3,91	37,095	457,345
21810	0,522	-0,257	-0,992	-16,33	0,969	37,522	456,795
21910	0,54	-0,264	-1,047	-17,451	-5,202	38,183	456,245
22010	0,546	-0,272	-1,075	-13,917	-9,342	48,465	455,695
22110	0,546	-0,284	-1,072	-18,382	1,62	39,518	455,145
22210	0,528	-0,283	-1,058	-19,793	1,735	35,627	454,595
22310	0,527	-0,291	-1,077	-19,971	-8,19	38,727	454,045
22410	0,511	-0,292	-1,04	-20,912	-3,053	36,538	453,495
22510	0,48	-0,275	-0,98	-17,851	4,888	36,952	452,945
22610	0,472	-0,271	-0,95	-15,796	-2,928	37,509	452,395
22710	0,474	-0,279	-0,971	-18,264	-6,117	30,579	451,845
22810	0,471	-0,282	-0,998	-17,238	-0,464	31,565	451,295
22910	0,455	-0,274	-0,957	-12,414	-0,051	42,072	450,745
23010	0,423	-0,253	-0,879	-15,5	-1,238	37,67	450,195
23110	0,401	-0,238	-0,817	-16,667	4,324	22,677	449,645
23210	0,392	-0,24	-0,808	-10,762	3,956	15,332	449,095
23310	0,394	-0,245	-0,826	-6,6	-3,72	17,465	448,545
23410	0,401	-0,244	-0,831	-5,122	-1,282	23,746	447,995
23510	0,386	-0,234	-0,796	-9,989	0,751	26,849	447,445
23610	0,385	-0,228	-0,803	-10,334	5,728	23,616	446,895
23710	0,417	-0,237	-0,88	-0,868	4,747	21,247	446,345
23810	0,433	-0,243	-0,933	-0,271	-5,668	13,039	445,795
23910	0,423	-0,242	-0,934	-1,96	-0,224	9,014	445,245
24010	0,433	-0,249	-0,96	-2,335	5,925	13,897	444,695
24110	0,437	-0,251	-0,962	-0,341	5,82	15,896	444,145
24210	0,432	-0,247	-0,959	4,991	0,926	17,428	443,595
24310	0,424	-0,25	-0,935	0,461	-0,339	6,185	443,045
24410	0,419	-0,25	-0,935	-4,714	9,818	-9,783	442,495
24510	0,426	-0,256	-0,948	1,831	8,162	-6,057	441,945
24610	0,401	-0,255	-0,882	8,838	-0,126	1,587	441,395
24710	0,394	-0,265	-0,896	5,043	5,772	-5,743	440,845
24810	0,407	-0,285	-0,916	-6,43	5,981	-18,444	440,295
24910	0,403	-0,288	-0,869	-3,291	4,979	-21,355	439,745
25010	0,394	-0,288	-0,808	7,035	6,506	-24,582	439,195
25110	0,426	-0,292	-0,828	5,04	-0,685	-37,343	438,645
25210	0,479	-0,297	-0,921	-0,196	-15,387	-33,354	438,095
25310	0,475	-0,291	-0,934	-2,231	-12,22	-19,063	437,545
25410	0,45	-0,263	-0,872	-3,149	-4,52	-13,479	436,995
25510	0,482	-0,263	-0,923	2,225	-0,282	-22,561	436,445
25610	0,526	-0,276	-1,041	12,108	-9,412	-28,433	435,895
25710	0,516	-0,272	-1,048	14	-11,674	-24,738	435,345
25810	0,483	-0,266	-0,963	3,483	6,845	-23,95	434,795
25910	0,453	-0,251	-0,904	-4,183	0,261	-7,319	434,245
26010	0,473	-0,246	-0,944	-2,749	1,746	3,132	433,695
26110	0,464	-0,247	-0,942	-1,046	5,833	0,509	433,145
26210	0,449	-0,245	-0,928	-6,233	6,477	-11,658	432,595
26310	0,449	-0,244	-0,9	-5,663	11,458	-9,481	432,045
26410	0,432	-0,248	-0,894	-6,643	1,471	12,968	431,495
26510	0,428	-0,248	-0,883	-18,785	5,144	20,008	430,945
26610	0,434	-0,236	-0,855	-19,789	15,247	28,701	430,395
26710	0,431	-0,23	-0,846	-20,042	9,655	29,225	429,845
26810	0,456	-0,239	-0,886	-16,918	7,907	29,744	429,295
26910	0,467	-0,25	-0,905	-18,916	5,598	37,482	428,745
27010	0,459	-0,253	-0,88	-27,543	12,475	39,155	428,195
27110	0,495	-0,255	-0,945	-29,635	7,649	51,681	427,645
27210	0,479	-0,258	-0,907	-31,663	6,691	49,28	427,095
27310	0,456	-0,262	-0,85	-25,839	15,18	47,737	426,545
27410	0,468	-0,266	-0,882	-25,27	11,385	47,285	425,995
27510	0,467	-0,28	-0,914	-27,377	12,44	41,682	425,445
27610	0,46	-0,285	-0,919	-30,26	13,088	41,022	424,895
27710	0,459	-0,28	-0,924	-31,709	16,815	35,355	424,345
27810	0,48	-0,287	-0,975	-22,867	8,701	44,286	423,795
27910	0,476	-0,294	-0,987	-23,732	10,46	37,276	423,245
28010	0,451	-0,287	-0,948	-27,757	19,646	22,967	422,695
28110	0,466	-0,294	-0,989	-20,412	15,961	28,86	422,145
28210	0,483	-0,297	-1,033	-19,554	11,437	30,502	421,595
28310	0,46	-0,296	-0,981	-24,191	9,271	30,445	421,045
28410	0,428	-0,285	-0,891	-18,527	22,879	30,572	420,495
28510	0,431	-0,278	-0,881	-18,755	14,075	24,804	419,945
28610	0,451	-0,294	-0,941	-24,16	2,636	14,601	419,395
28710	0,449	-0,302	-0,952	-24,094	9,785	9,173	418,845
28810	0,474	-0,313	-0,999	-17,419	13,9	17,254	418,295
28910	0,484	-0,316	-1,02	-17,529	12,886	15,329	417,745
29010	0,504	-0,328	-1,075	-27,939	3,145	2,131	417,195
29110	0,517	-0,331	-1,099	-23,821	7,37	4,029	416,645
29210	0,523	-0,325	-1,112	-16,59	11,024	12,052	416,095
29310	0,533	-0,329	-1,127	-18,338	6,704	10,569	415,545
29410	0,511	-0,319	-1,061	-24,25	5,501	1,433	414,995
29510	0,49	-0,309	-1,017	-23,734	4,101	1,589	414,445
29610	0,479	-0,298	-0,969	-14,758	2,286	14,922	413,895
29710	0,487	-0,293	-0,971	-15,43	0,937	17,837	413,345
29810	0,493	-0,292	-0,975	-19,563	-0,297	16,67	412,795
29910	0,5	-0,294	-0,999	-18,894	2,51	15,904	412,245
30010	0,521	-0,297	-1,054	-18,421	-4,05	17,007	411,695
30110	0,511	-0,29	-1,015	-13,749	-7,757	23,363	411,145
30210	0,47	-0,275	-0,936	-12,568	1,455	20,304	410,595
30310	0,48	-0,28	-0,946	-16,992	-4,069	16,918	410,045
30410	0,513	-0,291	-1,013	-17,6	-6,935	15,844	409,495
30510	0,503	-0,29	-1,015	-14,311	-9,217	24,302	408,945
30610	0,497	-0,288	-1,007	-14,083	-3,253	24,334	408,395
30710	0,493	-0,286	-0,996	-12,919	-1,382	20,059	407,845
30810	0,5	-0,287	-1,021	-9,542	-5,614	19,248	407,295
30910	0,501	-0,287	-1,036	-11,747	-4,13	12,567	406,745
31010	0,479	-0,278	-0,986	-6,424	-1,875	20,217	406,195
31110	0,457	-0,27	-0,946	-5,017	0,059	21,252	405,645
31210	0,436	-0,263	-0,9	-11,151	-2,879	9,134	405,095
31310	0,417	-0,255	-0,852	-6,378	2,566	4,124	404,545
31410	0,421	-0,258	-0,862	1,64	6,952	4,543	403,995
31510	0,416	-0,259	-0,837	-0,72	2,53	-1,587	403,445
31610	0,436	-0,268	-0,898	-1,175	10,663	-7,565	402,895
31710	0,466	-0,272	-0,962	-0,286	7,304	-2,367	402,345
31810	0,469	-0,273	-0,972	2,443	8,673	1,469	401,795
31910	0,44	-0,266	-0,905	1,37	18,979	-9,01	401,245
32010	0,437	-0,262	-0,853	-4,935	7,93	-18,595	400,695
32110	0,435	-0,259	-0,845	-8,183	3,793	-22,533	400,145
32210	0,425	-0,252	-0,816	-6,123	6,28	-11,73	399,595
32310	0,431	-0,247	-0,81	-7,674	7,1	-0,695	399,045
32410	0,457	-0,256	-0,869	-14,175	3,433	0,403	398,495
32510	0,46	-0,247	-0,881	-13,97	-4,397	7,869	397,945
32610	0,462	-0,247	-0,881	-14,191	-1,152	13,827	397,395
32710	0,476	-0,256	-0,897	-15,378	3,976	19,928	396,845
32810	0,466	-0,244	-0,869	-15,575	2,45	29,791	396,295
32910	0,482	-0,257	-0,879	-21,311	-0,341	33,457	395,745
33010	0,489	-0,258	-0,882	-25,988	0,17	36,783	395,195
33110	0,504	-0,266	-0,932	-24,967	3,238	41,796	394,645
33210	0,529	-0,287	-1,001	-23,922	-1,869	48,02	394,095
33310	0,525	-0,296	-1,027	-28,351	3,742	40,942	393,545
33410	0,514	-0,292	-1,012	-30,109	13,029	29,595	392,995
33510	0,492	-0,285	-0,961	-24,821	4,498	33,494	392,445
33610	0,488	-0,295	-0,973	-25,488	-1,36	35,767	391,895
33710	0,488	-0,299	-0,997	-28,258	8,373	34,199	391,345
33810	0,486	-0,292	-0,988	-23,549	11,925	38,571	390,795
33910	0,494	-0,292	-1,001	-20,375	7,07	35,292	390,245
34010	0,479	-0,294	-0,988	-24,445	2,301	26,165	389,695
34110	0,482	-0,299	-0,992	-25,838	4,835	24,708	389,145
34210	0,474	-0,294	-0,974	-19,01	9,02	33,879	388,595
34310	0,468	-0,293	-0,976	-18,528	6,058	35,615	388,045
34410	0,465	-0,293	-0,969	-25,399	7,17	21,967	387,495
34510	0,453	-0,292	-0,947	-23,64	4,341	20,588	386,945
34610	0,453	-0,297	-0,958	-17,51	1,302	25,998	386,395
34710	0,452	-0,299	-0,972	-16,797	5,154	23,202	385,845
34810	0,469	-0,304	-1,02	-20,61	3,19	20,187	385,295
34910	0,483	-0,307	-1,043	-20,197	5,256	16,985	384,745
35010	0,457	-0,291	-0,99	-15,295	2,231	17,575	384,195
35110	0,463	-0,293	-1,002	-10,792	-1,833	18,246	383,645
35210	0,449	-0,285	-0,971	-10,207	3,625	11,965	383,095
35310	0,453	-0,283	-0,971	-11,613	5,022	4,382	382,545
35410	0,466	-0,284	-0,999	-4,436	1,55	8,825	381,995
35510	0,434	-0,269	-0,926	-1,821	-2,448	11,907	381,445
35610	0,433	-0,269	-0,918	-5,056	2,345	5,507	380,895
35710	0,435	-0,267	-0,921	-3,568	10,783	-2,969	380,345
35810	0,418	-0,259	-0,86	3,351	4,424	-3,702	379,795
35910	0,436	-0,267	-0,895	6,253	0,238	-5,051	379,245
36010	0,444	-0,273	-0,91	-1,293	7,09	-13,927	378,695
36110	0,424	-0,261	-0,853	-5,855	7,941	-14,042	378,145
36210	0,446	-0,26	-0,885	-2,577	2,984	-7,959	377,595
36310	0,445	-0,266	-0,886	3,17	2,98	-6,531	377,045
36410	0,445	-0,264	-0,871	-0,004	3,492	-10,3	376,495
36510	0,457	-0,259	-0,906	-9,168	3,453	-14,677	375,945
36610	0,439	-0,257	-0,872	-7,689	-1,78	-3,446	375,395
36710	0,454	-0,256	-0,882	-0,678	-0,609	12,428	374,845
36810	0,47	-0,255	-0,927	-4,574	1,395	14,449	374,295
36910	0,473	-0,258	-0,915	-12,692	-1,523	8,91	373,745
37010	0,489	-0,258	-0,94	-11,329	1,125	8,101	373,195
37110	0,485	-0,265	-0,956	-6,476	-0,508	18,388	372,645
37210	0,486	-0,274	-0,968	-6,018	0,806	26,944	372,095
37310	0,466	-0,26	-0,931	-15,81	5,2	18,596	371,545
37410	0,477	-0,266	-0,953	-19,309	1,445	13,309	370,995
37510	0,506	-0,279	-1,017	-9,456	-0,871	21,558	370,445
37610	0,483	-0,278	-0,984	-10,246	3,162	18,428	369,895
37710	0,484	-0,281	-0,988	-14,7	8,412	12,683	369,345
37810	0,49	-0,281	-0,996	-17	5,563	11,938	368,795
37910	0,473	-0,278	-0,956	-13,11	2,288	21,143	368,245
38010	0,466	-0,268	-0,931	-12,79	7,768	20,486	367,695
38110	0,481	-0,267	-0,983	-17,61	8,414	10,264	367,145
38210	0,463	-0,267	-0,939	-14,835	6,048	10,658	366,595
38310	0,413	-0,243	-0,796	-12,57	8,69	13,323	366,045
38410	0,422	-0,244	-0,804	-10,425	5,163	26,686	365,495
38510	0,451	-0,263	-0,882	-16,334	3,852	29,795	364,945
38610	0,444	-0,256	-0,887	-25,222	7,016	21,456	364,395
38710	0,463	-0,257	-0,9	-16,22	9,087	26,364	363,845
38810	0,463	-0,26	-0,891	-7,42	4,587	28,8	363,295
38910	0,446	-0,262	-0,876	-16,003	-1,988	20,971	362,745
39010	0,452	-0,269	-0,899	-23,31	1,305	21,563	362,195
39110	0,459	-0,268	-0,905	-19,388	3,1	33,121	361,645
39210	0,459	-0,27	-0,886	-14,746	2,409	33,451	361,095
39310	0,455	-0,271	-0,901	-17,506	-3,119	24,968	360,545
39410	0,466	-0,279	-0,944	-21,973	2,482	14,058	359,995
39510	0,497	-0,293	-1,013	-16,387	6,015	17,806	359,445
39610	0,51	-0,296	-1,055	-12,01	-1,649	26,524	358,895
39710	0,47	-0,281	-0,966	-13,905	2,39	25,631	358,345
39810	0,432	-0,261	-0,877	-16,47	10,057	19,965	357,795
39910	0,438	-0,264	-0,872	-18,188	6,506	8,973	357,245
40010	0,442	-0,267	-0,882	-11,524	-4,255	13,283	356,695
40110	0,442	-0,271	-0,911	-8,372	-1,086	19,845	356,145
40210	0,477	-0,284	-1,001	-12,542	12,26	15,989	355,595
40310	0,49	-0,288	-1,019	-10,021	10,252	19,204	355,045
40410	0,455	-0,276	-0,919	-8,086	7,118	13,553	354,495
40510	0,421	-0,26	-0,841	-9,135	0,688	10,954	353,945
40610	0,423	-0,263	-0,866	-10,022	3,889	9,803	353,395
